,username,description,location,likes,retweets,following,followers,totaltweets,text,hashtags,date
19,27kaukara,平和な世界を永遠に追求します！ 戦争は何の意味も得もありません！ただただ、貧しくなるのと、無意味な犠牲が出るだけです！戦争NO！,,0,0,692,469,48951,「韓国政府も日本政府が公式に要請してくれば、COVID-19根絶のための国際協力レベルでの支援を惜しんではならない」いや、この非常時にわざわざ靖国に供物奉納してたし。韓国コンプレックスのない人で内閣を組み直して、正式に頼むべきだと… https://t.co/H9uIYBpCyy,[],2020-05-01 23:59:59
20,ivanatrimbath04,@KUNOBP🐶🔥🔫👿🚬 @armandoaraiza,💩🍓🏰♐🐎💓🌇💤,0,0,4998,1586,44205,I am so touched! It is so true that you never know where true love and empathy will come from! My deepest gratitude… https://t.co/s2b5Id7L1n,[],2020-05-01 23:59:59
21,fascinatorfun,"Retired lawyer. Cooking & good food, books, conversation, dancing, music. Forever European.","South West, England",0,0,6792,59544,248566,BREAKING: The White House just blocked Dr. Fauci from testifying in front of Congress next week. Because they want… https://t.co/5rYlpZ3w3t,[],2020-05-01 23:59:59
22,vedai1981,最近、芸能人ランキングにはまっています。,東京,0,0,285,18,6928,"新型コロナウイルスの対策について話し合う政府の専門家会議が、５月１日、新たな提言を出しました。長丁場を前提に、感染拡大を予防する「新たな生活様式」に移っていく必要があるとしています。【ポイント】【会見の主なやりとり】【全文】です。
https://t.co/pL2T4w5zi3",[],2020-05-01 23:59:59
23,GodwinIdiks,My eyes,,0,0,229,119,8258,Biafrans in #Nigeria demand that @NGRPresident do a live media chat with the press or a press conference to update… https://t.co/vlwiaME3QJ,['Nigeria'],2020-05-01 23:59:59
24,daveeddy1962,,,0,0,191,60,916,"Prof Isaac Ben-Israel: ""the spread of the coronavirus declines to almost zero after 70 days — no matter where it st… https://t.co/QQOz1W7vgY",[],2020-05-01 23:59:59
25,Jlusalva,,,0,0,355,393,43776,"“Siempre vienen y no traen nada”: Víctor Zamora es encarado por consejero regional de Lambayeque
https://t.co/piW2hCwJjh",[],2020-05-01 23:59:59
26,CentroDeGob,Comisión Presidencial de Centro de Gobierno.,Guatemala,49,21,66,6041,948,Continuamos trabajando para hacerle frente a esta emergencia mundial con la construcción y remodelación de 5 hospit… https://t.co/40U1Eq9F8U,[],2020-05-01 23:59:59
27,realprincetotty,"Asli Indo (Campuran).
Gak pake tipu-2 ngaku-2 Fribumi.

Wanted By Wan abud-Fpie-Fks-Hti-Isis.dkk",NKRI,0,0,1059,841,130246,"Madonna mengklaim punya antibodi corona. Oleh karenanya, ia bakal keluar rumah dan bernapas di udara Covid-19 https://t.co/9zPAkZ7pog",[],2020-05-01 23:59:59
28,ElsaatyAhmed,صحفي مصري,"القاهرة, مصر",0,0,1218,59,1424,"كيف أثرت مُزحة «#ترامب» على صناعة المُنظفات؟

#فيروس_كورونا
#Covid_19 

https://t.co/wlDPsSXNvd","['ترامب', 'فيروس_كورونا', 'Covid_19']",2020-05-01 23:59:59
29,PTIofficial,Official twitter account of Pakistan Tehreek-e-Insaf | YouTube: https://www.youtube.com/PTIOfficialChannel,Pakistan,0,0,1476,5296242,271455,"#1stMay #LabourDay2020 is dedicated to those who work hard for their families &amp;nation

The labour in Pakistan is cu… https://t.co/QvogbcobAv","['1stMay', 'LabourDay2020']",2020-05-01 23:59:59
30,Caro2Ma,One World 4 All / Fair Trade / Sustainability / Politics / History / Science / Nature / Culture / Health / Beautiful pictures,The Netherlands,0,0,2528,845,13457,"Coronavirus: Lagebericht des Robert Koch-Instituts, 30.4.2020 https://t.co/H9F66Xrhxb",[],2020-05-01 23:59:59
31,MunicipioSeguro,"Cuenta oficial de la Dirección de Seguridad Pública, Vialidad y Protección Ciudadana del @MunicipioOaxaca (2019-2021). #Oaxaca","Oaxaca de Juárez, Oaxaca",3,3,48,25054,37892,"Tercera fase del Filtro de Control Sanitario en las Riberas del Atoyac, con la participación de @GN_MEXICO,… https://t.co/5aTRiIRUw9",[],2020-05-01 23:59:59
32,USAFRAUDfighter,"FEDERAL WHISTLEBLOWER
INDEPENDENT

Retweets NOT Endorsements
BICENTENNIAL year grad 1976 
born 1958",,0,0,1088,4,24039,Federal funds now available to isolate Michigan homeless with coronavirus in hotels https://t.co/6rGEUO3ySg,[],2020-05-01 23:59:59
