,Unnamed: 0,username,description,location,likes,retweets,following,followers,totaltweets,text,hashtags,date,langs
85,85,rianesthesia,The Rhode Island Society of Anesthesiologists (RISA) monitors and acts on issues that affect the medical specialty of anesthesiology and on our patients.,"Rhode Island, USA",0,0,55,49,143,#Coronavirus DOs and DON'Ts: The simple #infographic guide to protect you and your community… https://t.co/3qyKymY2rk,"['Coronavirus', 'infographic']",2020-03-21 23:59:59,en
86,86,emilayclaire,"Always earned, never given. KCMO",,0,0,218,34,617,Well..... there goes my wedding.... #2020bride #coronavirus https://t.co/fHfrVMQFz9,"['2020bride', 'coronavirus']",2020-03-21 23:59:59,en
87,87,lindacorbett18,I am a decorative http://artist.love my http://animals.democrat forever!,Jackson Ga,0,0,5785,5263,78539,‘YOU HAVE FAILED’: Internet slams Trump’s upbeat coronavirus ‘WIN’ tweet - https://t.co/7lZDagiYHb In my opinion th… https://t.co/1mCdZSMjmi,[],2020-03-21 23:59:59,en
89,89,philiprichards5,Dreamer. Reader. Watcher .Traveller.  Romanist . Don Quixote. self alleged Patriot. RETWEETS do NOT confirm endorsement.,"England, United Kingdom",0,0,6549,6165,273949,@voxvot @ReasonInterest @timcrimmins @hbdchick @NiklasForberg @JayMan471 @QueeniesDad If you have 400 deaths over a… https://t.co/Xcdq3s3wqS,[],2020-03-21 23:59:59,en
90,90,sm00055,,,0,0,309,283,12059,"Coronavirus: Ministers urged to assist 'forgotten' self-employed

#Covid_19
#SeaChange
@SEAllianceUK
@StopIR35… https://t.co/cYQBsD5c5z","['Covid_19', 'SeaChange', 'IR35']",2020-03-21 23:59:59,en
91,91,concordpapa,"Great wife and kids and incredible grandchildren. Ex head football coach, hospitality industry, on air radio/tv.",New England,0,0,4067,1377,14345,For anyone who read the tweet from @realDonaldTrump saying hydroxychloroquine &amp; azithromycin can be a game changer… https://t.co/LOfkEHbwAL,[],2020-03-21 23:59:59,en
96,96,AbdulShuaib13,Alhamdulillah for Islam ☪️ 🕋,,0,0,890,678,2178,If you don't know something i think it's good to ask than to pretend or to blaspheme. Covid is corona even though o… https://t.co/VGsUpAdTcY,[],2020-03-21 23:59:59,en
97,97,StevieEvilCat,Cat. Evil. Really handsome. Evil. Don't touch me. The idiot’s Insta is angelaofthesouth.,Evil Lair UK,0,0,499,11861,37311,"We, along with all CP branches, are currently closed due to coronavirus. I will not be tweeting as regularly but we… https://t.co/0Ob3ww4UiX",[],2020-03-21 23:59:59,en
99,99,redzwanrashid,Brooding but occasionally cheerful body healer.,"kota kinabalu, sabah",0,0,211,104,10588,"Good: Now a point-of-care #COVID19 test with 45-minute turnaround approved by @US_FDA
https://t.co/DO5IvbkDpN… https://t.co/NU0NvqC8ss",['COVID19'],2020-03-21 23:59:59,en
102,102,RiverBenderNews,Your #1 source for everything local! Give us a follow and keep up-to-date!,"The River Bend Community, IL",0,0,733,2358,29052,"Now with the COVID-19 pandemic, half of the nation’s ethanol plants have shutdown, yet these same oil companies wan… https://t.co/2IhoR7Siom",[],2020-05-21 23:59:59,en
104,104,Hereiszhangsan,"来自武汉，热爱祖国，拥护社会主义制度，拥护中国共产党/物化政选手，备战高考淡推中/欢迎互fo，反贼esu滚开
From Wuhan,People's Republic of China/love China,supporting CPC.🇨🇳  /#LGBT 🌈 #BLM   RT≠Endorsement",中华人民共和国,0,0,1450,1121,4910,"US accusations against China in relation to #COVID_19 are baseless, said Zhang Yesui, spokesman for the National Pe… https://t.co/poGopSZbix",['COVID_19'],2020-05-21 23:59:59,en
105,105,jencook29,"Military mom, wife, librarian, LGBTQ supporter, #WIresister NO DMs","Wisconsin, USA",0,0,1284,604,3530,Deadly viruses don’t go away on their own and they don’t go away because the Supreme Court tells them to. COVID-19… https://t.co/dL5RcwCNys,[],2020-05-21 23:59:59,en
115,115,arnoldgalagaran,,,0,0,617,63,11448,Kuwait was the “Pearl of the Gulf” until it was hit by an occupation. Now a 2nd crisis offers it a golden chance to… https://t.co/OVrV5oiWol,[],2020-05-21 23:59:59,en
119,119,McConnellPress,The #Kentucky press office for U.S. Senate Republican Leader Mitch McConnell @LeaderMcConnell. For more information please visit his website:,,10,2,367,95569,15017,.@senatemajldr: “Welcome home. I am truly grateful for your courage and selfless service in the fight against the p… https://t.co/QBrXz2inyP,[],2020-05-21 23:59:59,en
120,120,hue80,"A FRIEND LOVETH at all time, and a BROTHER is born for adversity. Prov.17:17",CANADA,0,0,513,41,13614,"VIDEO: Coffin-makers in Nicaragua say business is booming amid the COVID-19 pandemic, where one owner says that som… https://t.co/goRd9Lg4PZ",[],2020-05-21 23:59:59,en
121,121,blackBlondiee_,I'm just me|#SteelersNation |F.R.O.G,On your mind ,0,0,281,484,159551,Gov. Ralph Northam said on Wednesday that the state will enforce mandatory mask policies if COVID-19 cases continue… https://t.co/dYhlpmnmtc,[],2020-05-21 23:59:59,en
129,129,PajaroValleyUSD,,,3,2,579,786,4553,Check out this PACE publication: COVID-19 Crisis Response in @PajaroValleyUSD Started with Listening to Families… https://t.co/GMI93UuepC,[],2020-05-21 23:59:59,en
131,131,donnisinmd,"citizen, environmentalist, believer in social justice",,0,0,4045,561,89927,"Social distancing a week earlier could have saved 36,000 American lives, study says https://t.co/2eWtxRL7IB",[],2020-05-21 23:59:59,en
133,133,LocoCravey,"Good at raising hell. I'm also a scholar and filmmaker.

pronouns: she/her",Cottenboro (was Carrboro) NC,0,0,3604,2590,77163,"5/21 Coronavirus Behind The Scenes Report: Sharing my thoughts on Governor Cooper’s Phase 2 of re-opening. Also, wh… https://t.co/aZeeyAuFIw",[],2020-05-21 23:59:58,en
134,134,MikeCroninWMUR,Anchor/Reporter/Sports @WMUR9. @CCRaider_HS @BryantUniv grad. Skier. Love everything New England. Proud dad of Byron 🐾. Links/RTs ❌ endorsements. Opinions mine,"Manchester, NH",0,0,1527,2681,12263,"Corey Martin is 29 with no pre-existing conditions. He's currently on a ventilator, battling COVID-19. His family i… https://t.co/FN3gYdlhu7",[],2020-05-21 23:59:58,en
135,135,MusicLov3rzRdo,Reaching 1 MILLION+ #MusicLov3rz #Radio & #Magazine Founder @ArtistsUnitedWW #Independent 3x Award Nominated for #MagazineOfTheYear,Worldwide,0,0,295841,296249,505113,"Hope In The Worldwide Storm!
Full video -&gt; ​https://t.co/q4LzTawabj​ ​#30days30videos​ ​#MessageToChristians​… https://t.co/h8yd5AUVFE","['30days30videos', 'MessageToChristians']",2020-05-21 23:59:58,en
140,140,LoiseauChantale,Membre du PLQ & PLC. Les complotistes s'abstenir sur ma TL. 😷😷😷,"Sherbrooke, Québec",0,0,2092,803,38605,"Quebec forecast centre closed, meteorologists sent home after COVID-19 outbreak https://t.co/MHQ94ocfiq https://t.co/y4mo0iqH1o",[],2020-05-21 23:59:58,en
141,141,EdsonAKodama,Proud Active Citizen and member of Global Saraya Team: inspired to bringing sustainable solutions to make this world into a better place for generations to come,"Westchester County, NY",0,0,465,2656,23260,The best way to avoid future pandemics? Protect the natural world https://t.co/YxTaNEbRDn #nature #sustainability https://t.co/Fnrnm875QJ,"['nature', 'sustainability']",2020-05-21 23:59:58,en
142,142,edythe_foss,,,0,0,326,163,133505,"RIP Wilson Jerman, 91, who served 11 presidents from Ike to Obama as a cleaner, butler and elevator operator in the… https://t.co/5scn2eb1nX",[],2020-05-21 23:59:58,en
144,144,BeaugiBear,,,0,0,180,78,35178,BREAKING: GOP State Senator Mike Testa just went off on Trump live on Fox News. He talked about Trump and his Admin… https://t.co/u5WH2iuIHG,[],2020-05-21 23:59:58,en
145,145,BizAdvisories,A daily dose of news & insights for entrepreneurs and executives trying to make sense of latest regulatory issues and how they impact business. A @JDSupra feed.,JDSupra.com,0,0,2099,4287,392222,COVID-19 Consumer Data Protection Act introduced in the U.S. Senate https://t.co/vUXSaJ1MIO | by @swlawnews,[],2020-05-21 23:59:58,en
148,148,XtyMiller,Mother of 3 🌺 Sharing peace ☮️ love♥ and music ♫ with the world🌎 #Aloha #Maui #NorCal #AnimalLover #Music #Love #Nature #iSpeakMyMind #CPTSD,"Redding, CA",0,0,17413,15828,270477,"JUST IN: McConnell signals next coronavirus bill ""not too far off"" amid growing calls from GOP senators… https://t.co/7UdLdXg0xx",[],2020-05-21 23:59:58,en
152,152,Solutioneer72,"I'm all in 4 🇺🇸, life, liberty, equality, prosperity, security, justice, truth, 💙💜❤, happiness 4🌈ALL🌎.
🔬from1999.
☯️#Vote4Democrats🦋
#Biden2020 #TeamJoe","Chicago, IL, USA",0,0,5460,9603,1249212,"In April, @JoeBiden urged President Trump to lower the White House flag to half-mast in honor of those who lost the… https://t.co/3hhE2YM3I2",[],2020-05-21 23:59:58,en
154,154,agittou,~ I am a Revolusioner ~,"ereke, Indonesia",0,0,153,218,907,"A study estimates that a single minute of loud speaking generates at least 1,000 covid-containing droplets, and the… https://t.co/agnR1muad6",[],2020-05-21 23:59:58,en
160,160,beatrizprey,Research Fellow @AU_CLALS studying legislative politics in Latin America. Research assistant @qdrepository. Columnist @BrazilianReport.,"Washington, DC",0,0,854,867,2815,"Brazil with well over 1,000 dead from coronavirus today, another gruesome record. 

Meanwhile here’s Pres Bolsonaro… https://t.co/fAwKapFFEX",[],2020-05-21 23:59:58,en
162,162,trytheone,"This is the storm before the calm. 
Imagine... 
You may say I'm a dreamer
But I'm not the only one
I hope someday you'll join us
And the world will be as one","In this world, just not of it",0,0,319,269,27752,@realDonaldTrump Lower the flags for more than just 3 days. Lower them for the duration of this pandemic. The way t… https://t.co/iWMNRwpz0z,[],2020-05-21 23:59:58,en
163,163,CsuzdiG,•24. News | Actualités | Nachrichten - Politics | Politique | Politik. Aspiring journalist. Quiz shows. Cars. Science & weather 🇺🇸🇬🇧🇩🇪🇫🇷🇸🇪🇭🇺🇷🇸🇭🇷,Ada / Novi Sad,0,0,5000,706,50222,Asia stocks set to trade lower as U.S.-China tensions rise https://t.co/H4yWZNeWDa,[],2020-05-21 23:59:58,en
164,164,luigi_warren,http://gab.com/luigi_warren,"Pasadena, CA",0,0,4303,3908,265178,"From physicians at a hospital on Walnut Creek, in Northern California, average household income 50% higher than US… https://t.co/dGwTXGxens",[],2020-05-21 23:59:58,en
167,167,Dralnoaimi,أكاديمي ، ناشط في المجتمع المدني  .Chairman Of Hedayah,,0,0,5734,431845,191915,"In a conversation with @SmithsonianFolk, Dana Al Marashi, Head of Cultural Diplomacy @UAEEmbassyUS discussed how th… https://t.co/A3JdTSm7E2",[],2020-05-21 23:59:57,en
168,168,emcconnell96,"Associate Professor of English and Humanities, Actress/activist, single mom, military brat, hippie-hearted, straight-talker, anti-nuclear, I block bots #resist",Massachusetts,0,0,4997,4494,51743,It appears Trumpers are pushing a false theory that wearing masks causes carbon dioxide retention &amp; oxygen deprivat… https://t.co/9K0L2EDOb1,[],2020-05-21 23:59:57,en
170,170,LOrion,"Proud to be 21st Century 3M Majority, #MultiRacial #MultiGender and #MiddleClass and YES a Physician",California,0,0,3406,4472,356638,"Professor Manhar Dhanak: “Breathing, #talking, especially without a #mask, these particles are so tiny, they can re… https://t.co/5xrdwKwldi","['talking', 'mask']",2020-05-21 23:59:57,en
171,171,MPOrthoptics,"Vision Scientist & Orthoptist ('straight eyes') @UniMelbDOVS @auscollegeoptom. Research specialty: Binocular Vision. My views are my own, not my institution's.",,0,0,601,826,7745,"IAPB's statement on behalf of the global eye care sector at WHA!

""As the COVID-19 outbreak continues to evolve, it… https://t.co/4QqkMWIP9N",[],2020-05-21 23:59:57,en
173,173,CraigKrupicka,,,0,0,64,14,7898,Instead of asking Andrew Cuomo on CNN about why exactly his state shoved covid-19 positive seniors back into nursin… https://t.co/7FzhwH7oz4,[],2020-05-21 23:59:57,en
175,175,limeton1,"Anti Uber #DeleteUber & Plenty of Humor & Sarcasm. Against Political Correctness, It's had its day and Crossed the Threshold of Insanity it's time to Grow Up.","Trafford Park, Manchester U.K.",0,0,6725,8416,48081,"A taxi driver died with Covid-19 after being spat at by a fare-dodger refusing to pay for his £9 journey, according… https://t.co/SRIzB7JIqm",[],2020-05-21 23:59:57,en
177,177,pattirod55,"Wife, mother love my family enjoying life & music Kentucky sassy girl ✡ For the love of my Country's future My rights on Political issues #DEMOCRACY #RESIST",USA,0,0,3152,2745,102930,Our hearts are with our fellow residents of Michigan who are enduring devastating floods during COVID-19.  https://t.co/gO4WBQJ0mw,[],2020-05-21 23:59:57,en
180,180,NightGracie,Wish I'd known how happy I was when I thought I was miserable.,"Brooklyn, NY",0,0,2164,754,35933,"With 1.6 million Americans infected with coronavirus and 96,000 dead, Trump today refused to follow state law or hi… https://t.co/Dm45CiuNQU",[],2020-05-21 23:59:57,en
185,185,PH1Losophical,UT ‘06,"Houston, TX",0,0,500,430,73579,"From physicians at a hospital on Walnut Creek, in Northern California, average household income 50% higher than US… https://t.co/dGwTXGxens",[],2020-05-21 23:59:57,en
188,188,ohdekuh,I never had a father ok,,2,1,189,182,15965,Ok so I found out an old baseball coach died of coronavirus today this shit is real and y’all need to take it seriously.,[],2020-05-21 23:59:57,en
189,189,NaomiRenaLevin1,Literature Travel General News Art Politics Gov Officials & Agencies Humanitarian,"Farmington Hills, MI",0,0,2924,647,38808,"Read the article if you like, but if you're in a hurry, here's the soundbite summary version: @RonDeSantisFL and th… https://t.co/o4lZqh6fpP",[],2020-05-21 23:59:57,en
190,190,AuroraElect,Been resisting since before it was cool!,,0,0,3473,3228,110515,"@CoastalCndn I have an appointment with my barber for June 4. I'll be wearing a mask.

Before I go, I'll call him u… https://t.co/6V3lLyp6qM",[],2020-05-21 23:59:57,en
191,191,rylee_struble,#ColdWorld,,25,1,159,322,8105,My grandma successfully beat coronavirus!,[],2020-05-21 23:59:57,en
193,193,WilliamWrberg,From Minnesota,,0,0,82,35,1858,Democrat Sen. Kamala Harris (CA) has introduced a bill on behalf of the Chinese Communist Party (CCP) to help the C… https://t.co/WZfpAwY1eY,[],2020-05-21 23:59:57,en
197,197,TakuroSpirit,"Tower junkie.
Trek junkie.
Car junkie.
Occasional gamer, when any of the above are involved.",Oz,0,0,742,682,34948,Deadly viruses don’t go away on their own and they don’t go away because the Supreme Court tells them to. COVID-19… https://t.co/dL5RcwCNys,[],2020-05-21 23:59:56,en
