,Unnamed: 0,username,description,location,likes,retweets,following,followers,totaltweets,text,hashtags,date,langs
241,241,rustyintheuk,"Sports nut, political enthusiast, news addict ...",,0,0,646,104,2189,The coronavirus doesn’t care if you’re tired of the coronavirus.,[],2020-06-21 23:59:57,en
245,245,marci65,,,0,0,308,39,3564,"Trump had a bad night in Tulsa. Very low turnout. Even his supporters know that COVID-19 is real and dangerous, and… https://t.co/dRknJbvWqY",[],2020-06-21 23:59:57,en
246,246,vpetrash,Pol Sci & Int'l Relations Professor & Digital Activist. ANTI-AUTHORITARIAN. Follow ideas not messiahs. My principles ARE NOT negotiable. RTs ≠ endorsements,"Pinecrest, FL",0,0,6569,15440,60312,GENEVA (AP) — The World Health Organization on Sunday reported the largest single-day increase in coronavirus cases… https://t.co/aHf07mwHB9,[],2020-06-21 23:59:57,en
247,247,lindanjohnson1,"Writer, reader, content strategist, opinionated, professional tilter of windmills in the daily battle to use technology for good not evil.","Dallas, TX",0,0,4677,3515,64527,@SiveraRuben @lindanjohnson1 @DrEricDing That’s 3454 new cases in one day. Yesterday they had 4430 new cases. Texas… https://t.co/VUefozBc9s,[],2020-06-21 23:59:56,en
248,248,acdptn,"Your friends and neighbors of Anderson County, TN.  We care about you!",,0,0,251,90,3341,"President Trump just admitted that he directed officials to slow testing.

And even though there's a spike in COVID… https://t.co/ngwtByNT3y",[],2020-06-21 23:59:56,en
249,249,manda_here_,You’ve survived 100% of your worst days. Please keep going.  (She/Her/They/Them🏳️‍🌈) NCSU ‘23,"North Carolina, USA",0,0,573,227,14444,"How many negligent deaths from reduced COVID-19 testing does it take to be considered genocide?

Asking for 119,000… https://t.co/JLGsmN60r6",[],2020-06-21 23:59:56,en
250,250,susanicox,Citizen. Gadfly. Aspiring Optimist. (She/Her),"Cambridge, MA",0,0,1542,472,52387,The coronavirus doesn’t care if you’re tired of the coronavirus.,[],2020-06-21 23:59:56,en
251,251,Scimitar100,"Life. Games. Comics. Movies. Creation.

http://twitch.tv/anubisnightshade","Cumberland Furnace, TN",0,0,341,18,631,"Trump had a bad night in Tulsa. Very low turnout. Even his supporters know that COVID-19 is real and dangerous, and… https://t.co/dRknJbvWqY",[],2020-06-21 23:59:56,en
252,252,djennings6781,,,0,0,83,72,26792,"Under President Trump, America is the world leader in coronavirus testing. The U.S. has conducted over 25 million t… https://t.co/ZEEWjSi0BV",[],2020-06-21 23:59:56,en
253,253,ineyekomo,entertainment writer @refinery29. powerful with a little bit of tender. ✨,"New York, NY",2,2,405,1538,176140,"Eye too would love nothing more to be on someone’s rooftop enjoying my summer. But the coronavirus is real, guys. Y… https://t.co/b06mNjAAOB",[],2020-06-21 23:59:56,en
254,254,DanielleDMont,"When there's nothing left to burn,you have to set yourself on fire.",NY,0,0,473,104,18276,Kentucky has used Covid-19 as an excuse to slash polling places for Tuesday’s vital primary to defeat… https://t.co/FqfB5isAIT,['MitchMcConnell'],2020-06-21 23:59:56,en
256,256,LizDolphinfluff,"Playing with puppies, paint and molten glass helps keep me sane. Decided to invent an emotion - uqusquarkkle - feel free to use. Synesthete of many colors", Ginninderra Creek Canberra Oz,0,0,3410,2624,344515,"Absolutely terrible, 3 people died in Reading stabbing last night. However yesterday another 128 died of coronaviru… https://t.co/Acg6D6Fvh7",[],2020-06-21 23:59:56,en
257,257,GiliwayaDoraine,,,0,0,424,404,69938,"President Trump just admitted that he directed officials to slow testing.

And even though there's a spike in COVID… https://t.co/ngwtByNT3y",[],2020-06-21 23:59:56,en
259,259,AyeeLexus86,You gotta Picasso in yo house! UK Alum💙😸,"North Carolina, USA",0,0,543,1301,579049,"On the other extreme are potential super-spreading events — anywhere many people are confined indoors, especially i… https://t.co/nJujflUG6A",[],2020-06-21 23:59:56,en
260,260,betterjobsearch,"Dedicated to making the world a better place for all.  #followfriday #ff 
#followback #followteamback #ifollowback Mention @betterjobsearch for RTs.","Chicago, IL",0,0,95369,97662,175047,"Regardless of how the field of education changes, there will always be rewarding careers. Here are five to consider… https://t.co/zcFKSJ2pB3",[],2020-06-21 23:59:56,en
262,262,JodyBernier,"Love Cross Stitching, Bruins, The Walking Dead, Gardening, Country Music, Red Sox and cats not necessarily in that order...cats did I mention cats",,0,0,1156,709,45039,"121,908 Americans have died from the coronavirus. 

Donald Trump claimed last night that he ordered officials to qu… https://t.co/e9xZNwDNXr",[],2020-06-21 23:59:56,en
263,263,MJPhotographer,"Photog/graphic design, actor, yoga teacher/therapist,published poet/sswriter, short film maker, paper, dark chocolate lover, 2many Uni Degrees.Thalassophile",Australia,0,0,4969,3614,65040,"VIC LGA now has its own button on @covidliveau 

LGA numbers are updated each day when the @VicGovDHHS publish thei… https://t.co/xni7pAPGGO",[],2020-06-21 23:59:56,en
264,264,TheManAngelo,,My bed,0,0,386,108,4333,"Trump had a bad night in Tulsa. Very low turnout. Even his supporters know that COVID-19 is real and dangerous, and… https://t.co/dRknJbvWqY",[],2020-06-21 23:59:56,en
268,268,Tommy_Blackjack,,,0,0,1042,468,260489,The coronavirus doesn’t care if you’re tired of the coronavirus.,[],2020-06-21 23:59:55,en
270,270,JosephC21753027,Have fun,,0,0,49,8,1312,"We are still waiting for Chen Qiushi's return. Until he reappears, we will keep on counting the days.

Chen Qiushi… https://t.co/ctssfh0exk",[],2020-06-21 23:59:55,en
